wkt_geom,id,Yandex add,Longitude,Latitude,ЧН_Расчет
Point (6228185.02468627505004406 7969147.03942038305103779),6692743,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 1",55.948738,58.181238,12.56875
Point (6228253.04089515004307032 7969333.97154728230088949),9208974,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 2",55.949349,58.182125,18.175
Point (6228121.01597906928509474 7969196.98587759304791689),8822230,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 3",55.948163,58.181475,12.69375
Point (6228178.011558354832232 7969305.94196721725165844),8822224,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 4",55.948675,58.181992,18.23125
Point (6228284.98958900757133961 7969184.97340799309313297),8822239,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 5",55.949636,58.181418,12.9
Point (6228127.02723157219588757 7969278.96623015496879816),8822228,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 6",55.948217,58.181864,18.0625
Point (6228055.00352102890610695 7969246.08968242909759283),6692744,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 8",55.94757,58.181708,18.675
Point (6228039.97538977116346359 7969312.89666523411870003),8822229,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 10",55.947435,58.182025,18.94375
Point (6228138.04786116071045399 7968630.10268120467662811),8822243,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Советская улица, 3",55.948316,58.178785,26.964285714285715
Point (6228164.98717793170362711 7968987.08655959647148848),8822221,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Транспортная улица, 2",55.948558,58.180479,48.811764705882354
Point (6227977.97043340001255274 7969425.015721520408988),8472037,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 1",55.946878,58.182557,40.00588235294118
Point (6227954.03674287907779217 7969743.04679498169571161),8822216,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 2",55.946663,58.184066,55.05294117647059
Point (6227910.95609994232654572 7969567.9067341573536396),9233085,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 3",55.946276,58.183235,39.59411764705882
Point (6227983.98168590199202299 7969662.95817057695239782),6692739,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 5",55.946932,58.183686,39.71764705882353
Point (6228123.01972990296781063 7969725.97520034573972225),7113906,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 7",55.948181,58.183985,31.28235294117647
Point (6228216.97338013257831335 7969724.07835890725255013),8822212,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 9",55.949025,58.183976,31.21764705882353
Point (6212448.01091181114315987 7942936.93718107230961323),9043520,"Россия, Пермский край, Краснокамск, улица Белинского, 1",55.80737,58.05665,14.064285714285715
Point (6212535.95330953877419233 7942867.00564089231193066),9043388,"Россия, Пермский край, Краснокамск, улица Белинского, 1А",55.80816,58.056317,26.02857142857143
Point (6212492.98398609273135662 7942995.94898978527635336),9043722,"Россия, Пермский край, Краснокамск, улица Белинского, 4",55.807774,58.056931,14.071428571428571
Point (6212280.02980020456016064 7943062.94160780310630798),9043396,"Россия, Пермский край, Краснокамск, улица Белинского, 5",55.805861,58.05725,20.707142857142856
Point (6212325.00287448521703482 7943125.10457416996359825),9043593,"Россия, Пермский край, Краснокамск, улица Белинского, 8",55.806265,58.057546,32.285714285714285
Point (6212138.98800536897033453 7943166.05681086424738169),9043687,"Россия, Пермский край, Краснокамск, улица Белинского, 9",55.804594,58.057741,33.22857142857143
Point (6212187.96858131885528564 7943225.9104835195466876),9043128,"Россия, Пермский край, Краснокамск, улица Белинского, 12",55.805034,58.058026,22.514285714285712
Point (6211940.95063124876469374 7943326.08770287688821554),9043730,"Россия, Пермский край, Краснокамск, улица Белинского, 13",55.802815,58.058503,23.592857142857145
Point (6211872.04386644717305899 7943376.91187894809991121),9043688,"Россия, Пермский край, Краснокамск, улица Белинского, 13А",55.802196,58.058745,13.1125
Point (6212119.95237244386225939 7943284.9245739197358489),9043731,"Россия, Пермский край, Краснокамск, улица Белинского, 14",55.804423,58.058307,21.25714285714286
Point (6212066.96429482661187649 7943347.92945520300418139),9043041,"Россия, Пермский край, Краснокамск, улица Белинского, 14А",55.803947,58.058607,30.23125
Point (6211986.03502502012997866 7943384.05249335896223783),9043729,"Россия, Пермский край, Краснокамск, улица Белинского, 16",55.80322,58.058779,27.464285714285715
Point (6211909.00193739123642445 7943443.90791183896362782),9043726,"Россия, Пермский край, Краснокамск, улица Белинского, 18",55.802528,58.059064,23.90625
Point (6211841.98760393355041742 7943498.93331593554466963),9043407,"Россия, Пермский край, Краснокамск, улица Белинского, 20",55.801926,58.059326,26.228571428571428
Point (6214004.03475411981344223 7944305.03891832288354635),9034053,"Россия, Пермский край, Краснокамск, улица Владимира Кима, 6",55.821348,58.063164,72.49411764705883
Point (6214224.0020679272711277 7944360.91084540355950594),9034040,"Россия, Пермский край, Краснокамск, микрорайон Мясокомбинат, Восточный переулок, 1",55.823324,58.06343,36.05
Point (6214301.03515555709600449 7944319.95206099841743708),9034043,"Россия, Пермский край, Краснокамск, микрорайон Мясокомбинат, Восточный переулок, 2",55.824016,58.063235,35.42857142857143
Point (6214369.05136443115770817 7944281.09393458347767591),9034044,"Россия, Пермский край, Краснокамск, микрорайон Мясокомбинат, Восточный переулок, 3",55.824627,58.06305,25.05
Point (6214415.02631412912160158 7944342.00676317047327757),9034049,"Россия, Пермский край, Краснокамск, микрорайон Мясокомбинат, Восточный переулок, 4",55.82504,58.06334,57.0375
Point (6211293.96175075694918633 7946757.07533648330718279),9048635,"Россия, Пермский край, Краснокамск, Городская улица, 46",55.797003,58.074836,41.82142857142857
Point (6211484.98599695879966021 7945504.06655676290392876),9050813,"Россия, Пермский край, Краснокамск, улица Дзержинского, 2А",55.798719,58.068872,40.9
Point (6211544.98720249626785517 7945458.89997570030391216),9050829,"Россия, Пермский край, Краснокамск, улица Дзержинского, 4А",55.799258,58.068657,23.6375
Point (6211624.02404095977544785 7945267.10260488837957382),9050830,"Россия, Пермский край, Краснокамск, улица Дзержинского, 5",55.799968,58.067744,138.51764705882354
Point (6211691.03837441746145487 7945216.0555031867697835),9297640,"Россия, Пермский край, Краснокамск, улица Дзержинского, 7",55.80057,58.067501,139.61764705882354
Point (6211771.9676442239433527 7945338.94726467318832874),6512191,"Россия, Пермский край, Краснокамск, улица Дзержинского, 8А",55.801297,58.068086,137.1
Point (6211791.00327714998275042 7945175.09203177038580179),9050831,"Россия, Пермский край, Краснокамск, улица Дзержинского, 9",55.801468,58.067306,138.3235294117647
Point (6211902.99068488739430904 7945094.00602741539478302),8928930,"Россия, Пермский край, Краснокамск, улица Дзержинского, 11",55.802474,58.06692,125.71176470588235
Point (6212093.01305567193776369 7943857.02838069852441549),9043735,"Россия, Пермский край, Краснокамск, Клубный переулок, 1",55.804181,58.061031,13.578571428571427
Point (6211867.03448936156928539 7943560.04979306645691395),9043734,"Россия, Пермский край, Краснокамск, Клубный переулок, 9",55.802151,58.059617,14.814285714285715
Point (6211948.96563458535820246 7945471.92472920566797256),8928940,"Россия, Пермский край, Краснокамск, улица Крупской, 4А",55.802887,58.068719,165.56470588235294
Point (6211435.00354559253901243 7945564.98935435805469751),9050833,"Россия, Пермский край, Краснокамск, улица Ленина, 5",55.79827,58.069162,40.525
Point (6211362.97983505018055439 7945617.92956799175590277),9050834,"Россия, Пермский край, Краснокамск, улица Ленина, 6",55.797623,58.069414,40.6625
Point (6211482.98224612418562174 7945628.01346072927117348),9050835,"Россия, Пермский край, Краснокамск, улица Ленина, 7",55.798701,58.069462,24.2625
Point (6211416.96978808473795652 7945683.89527962263673544),9050836,"Россия, Пермский край, Краснокамск, улица Ленина, 8",55.798108,58.069728,25.857142857142858
Point (6211533.96657290868461132 7945688.93726879730820656),9050837,"Россия, Пермский край, Краснокамск, улица Ленина, 9",55.799159,58.069752,21.785714285714285
Point (6211578.04909126181155443 7945746.92038880847394466),9050838,"Россия, Пермский край, Краснокамск, улица Ленина, 11",55.799555,58.070028,26.37857142857143
Point (6211512.03663322143256664 7945800.07197737786918879),9050839,"Россия, Пермский край, Краснокамск, улица Ленина, 12",55.798962,58.070281,27.114285714285717
Point (6211630.03529346268624067 7945809.94602953735738993),9050840,"Россия, Пермский край, Краснокамск, улица Ленина, 13",55.800022,58.070328,43.69285714285714
Point (6211563.02096000500023365 7945863.09806637838482857),9050842,"Россия, Пермский край, Краснокамск, улица Ленина, 14",55.79942,58.070581,46.82142857142857
Point (6212531.05525194387882948 7943050.97109594196081161),9043218,"Россия, Пермский край, Краснокамск, улица Льва Толстого, 11",55.808116,58.057193,14.607142857142858
Point (6212126.96550036408007145 7945693.97926137130707502),9050832,"Россия, Пермский край, Краснокамск, улица Максима Горького, 2",55.804486,58.069776,134.16470588235296
Point (6214766.0166686000302434 7943756.00392997078597546),9024304,"Россия, Пермский край, Краснокамск, улица Металлистов, 19",55.828193,58.06055,12.175
Point (6211683.02337107993662357 7948990.91022317390888929),9044856,"Россия, Пермский край, Краснокамск, улица Новой Стройки, 99",55.800498,58.085466,32.23571428571429
Point (6211695.04587608575820923 7945396.92766917403787374),6693763,"Россия, Пермский край, Краснокамск, улица Павлика Морозова, 1",55.800606,58.068362,98.6470588235294
Point (6211639.0521722175180912 7945425.07773792929947376),9050843,"Россия, Пермский край, Краснокамск, улица Павлика Морозова, 2",55.800103,58.068496,70.875
Point (6211773.97139505855739117 7945499.02469231933355331),9050844,"Россия, Пермский край, Краснокамск, улица Павлика Морозова, 3",55.801315,58.068848,39.2125
Point (6211674.00649232603609562 7945503.01616805605590343),9050845,"Россия, Пермский край, Краснокамск, улица Павлика Морозова, 4",55.800417,58.068867,39.2125
Point (6211858.01761060766875744 7945599.02230578474700451),9050846,"Россия, Пермский край, Краснокамск, улица Павлика Морозова, 5",55.80207,58.069324,100.20588235294117
Point (6211755.04708162322640419 7945608.89609230309724808),9050847,"Россия, Пермский край, Краснокамск, улица Павлика Морозова, 6",55.801145,58.069371,39.36875
Point (6211821.95009559020400047 7945654.06357994861900806),9050848,"Россия, Пермский край, Краснокамск, улица Павлика Морозова, 8",55.801746,58.069586,47.39375
Point (6212251.97728852462023497 7943593.02349515911191702),9043693,"Россия, Пермский край, Краснокамск, Республиканская улица",55.805609,58.059774,13.464285714285714
Point (6212380.99657835438847542 7943633.97829585894942284),9043147,"Россия, Пермский край, Краснокамск, Садовая улица, 2",55.806768,58.059969,26.107142857142858
Point (6212745.01131324749439955 7942961.92789016105234623),9043720,"Россия, Пермский край, Краснокамск, Советская улица, 2",55.810038,58.056769,25.814285714285713
Point (6212684.00823229271918535 7943017.99978521652519703),9043696,"Россия, Пермский край, Краснокамск, Советская улица, 4",55.80949,58.057036,29.857142857142858
Point (6212584.04332956112921238 7943087.09269886091351509),9043697,"Россия, Пермский край, Краснокамск, Советская улица, 6",55.808592,58.057365,25.814285714285713
Point (6212408.04721461702138186 7943222.9702919153496623),9043444,"Россия, Пермский край, Краснокамск, Советская улица, 10",55.807011,58.058012,20.885714285714283
Point (6212340.0310057420283556 7943276.10393292270600796),9043718,"Россия, Пермский край, Краснокамск, Советская улица, 12",55.8064,58.058265,27.07857142857143
Point (6212263.99979353044182062 7943333.01825198903679848),9043699,"Россия, Пермский край, Краснокамск, Советская улица, 14",55.805717,58.058536,21.271428571428572
Point (6212131.97487744968384504 7943430.04661438334733248),9043457,"Россия, Пермский край, Краснокамск, Советская улица, 16А",55.804531,58.058998,16.675
Point (6212068.96804566029459238 7943484.02181145176291466),9043701,"Россия, Пермский край, Краснокамск, Советская улица, 18",55.803965,58.059255,21.25
Point (6211997.05565460864454508 7943543.0379399610683322),9043714,"Россия, Пермский край, Краснокамск, Советская улица, 20",55.803319,58.059536,26.978571428571428
Point (6211919.02069156244397163 7943602.05453448835760355),9043704,"Россия, Пермский край, Краснокамск, Советская улица, 22",55.802618,58.059817,27.12857142857143
Point (6212148.00488412380218506 7943594.07361545227468014),9043691,"Россия, Пермский край, Краснокамск, Советская улица, 31",55.804675,58.059779,26.25
Point (6212072.97554732952266932 7943657.0811029514297843),9043709,"Россия, Пермский край, Краснокамск, Советская улица, 33",55.804001,58.060079,12.43125
Point (6211988.03877585381269455 7943723.02950881607830524),9043712,"Россия, Пермский край, Краснокамск, Советская улица, 35",55.803238,58.060393,14.478571428571428
Point (6211523.94781873747706413 7945912.0486955838277936),9050849,"Россия, Пермский край, Краснокамск, улица Фрунзе, 1",55.799069,58.070814,24.08125
Point (6211700.05525317136198282 7945774.02134918048977852),9050850,"Россия, Пермский край, Краснокамск, улица Фрунзе, 3",55.800651,58.070157,40.30625
Point (6211684.02524649724364281 7945701.96242324449121952),9050851,"Россия, Пермский край, Краснокамск, улица Фрунзе, 3А",55.800507,58.069814,126.8
Point (6212056.94554065447300673 7945608.89609230309724808),9050852,"Россия, Пермский край, Краснокамск, улица Фрунзе, 4",55.803857,58.069371,100.10588235294118
Point (6212720.96630323678255081 7942903.96637339890003204),9043737,"Россия, Пермский край, Краснокамск, улица Щербакова, 26",55.809822,58.056493,23.235714285714288
Point (6210721.00033164490014315 7946923.06643738131970167),9022999,"Россия, Пермский край, Краснокамск, Киевская улица, 17",55.791856,58.075626,32.8375
Point (6210738.0322137363255024 7946852.04700873140245676),9023016,"Россия, Пермский край, Краснокамск, Киевская улица, 18",55.792009,58.075288,35.864285714285714
Point (6210777.99591093137860298 7946924.95749648474156857),9023198,"Россия, Пермский край, Краснокамск, Киевская улица, 19",55.792368,58.075635,23.675
Point (6210153.04828961752355099 7947346.04524058662354946),9023221,"Россия, Пермский край, Краснокамск, Промышленная улица, 2",55.786754,58.077639,45.2764705882353
Point (6210523.96483294107019901 7946266.89782224129885435),9023544,"Россия, Пермский край, Краснокамск, Спортивная улица, 10",55.790086,58.072503,9.842857142857143
Point (6200435.96993827261030674 7947355.92133574560284615),9024324,"Россия, Пермский край, Краснокамск, улица Гагарина, 2А",55.699464,58.077686,24.8625
Point (6200369.95748023223131895 7947338.06032212916761637),8598254,"Россия, Пермский край, Краснокамск, улица Гагарина, 2Б",55.698871,58.077601,27.275
Point (6202099.97368665132671595 7947902.06870439276099205),9313909,"Россия, Пермский край, Краснокамск, улица Декабристов, 25",55.714412,58.080285,259.195
Point (6201490.05419659428298473 7947539.9973280681297183),9022467,"Россия, Пермский край, Краснокамск, улица Запальта, 17к1",55.708933,58.078562,16.3
Point (6202123.01682124473154545 7947554.07638630270957947),8599865,"Россия, Пермский край, Краснокамск, поселок Запальта",55.714619,58.078629,31.87142857142857
Point (6201555.95533514395356178 7947542.93921863753348589),9022473,"Россия, Пермский край, Краснокамск, улица Запальта, 17к2",55.709525,58.078576,15.20625
Point (6202123.01682124473154545 7947554.07638630270957947),8599868,"Россия, Пермский край, Краснокамск, поселок Запальта",55.714619,58.078629,28.40625
Point (6201620.96591776795685291 7947562.06153560057282448),9022479,"Россия, Пермский край, Краснокамск, улица Запальта, 17к3",55.710109,58.078667,15.0
Point (6202123.01682124473154545 7947554.07638630270957947),8599871,"Россия, Пермский край, Краснокамск, поселок Запальта",55.714619,58.078629,28.525
